Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005
unrelaxed_model_2_ptm_pred_61,27,9,10,8,8,0
unrelaxed_model_4_ptm_pred_11,16,8,11,10,3,9
unrelaxed_model_1_ptm_pred_59,19,23,17,4,3,0
unrelaxed_model_5_ptm_pred_91,12,9,10,7,9,12
unrelaxed_model_2_ptm_pred_80,12,13,10,8,10,7
unrelaxed_model_2_ptm_pred_6,17,7,10,7,12,0
unrelaxed_model_5_ptm_pred_26,11,10,9,8,10,6
unrelaxed_model_2_ptm_pred_15,14,9,10,11,10,2
unrelaxed_model_1_ptm_pred_62,16,9,10,13,7,12
